Fläche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Höhe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;Kategorie;Reifvon;Reifbis
1161;22;Juglans;regia;.;Walnuß;6;2;35;L;69400;350094;Nüsse;15/09;15/10
1161;25;Juglans;regia;.;Walnuß;18;5;100;L;69376;350110;Nüsse;15/09;15/10
691;3;Malus;;;Apfel;3;1;25;L;70855;354870;Apfel;15/07;31/10
639;12;Malus;;;Apfel;3;2;35;L;71222;356715;Apfel;15/07;31/10
639;13;Malus;;;Apfel;4;2;37;L;71219;356717;Apfel;15/07;31/10
373;17;Malus;;;Apfel;7;8;60;L;72332;351873;Apfel;15/07;31/10
373;36;Malus;;;Apfel;7;12;100;L;72325;351801;Apfel;15/07;31/10
461;6;Malus;;;Apfel;3;4;96;L;76723;346488;Apfel;15/07;31/10
691;1;Malus;;;Apfel;2;1;21;L;70844;354889;Apfel;15/07;31/10
209;21;Malus;;;Apfel;5;5;80;L;71623;349049;Apfel;15/07;31/10
209;22;Malus;;;Apfel;6;5;80;L;71636;349051;Apfel;15/07;31/10
47;4;Malus;;;Apfel;4;2;60;L;72044;353867;Apfel;15/07;31/10
373;35;Malus;;;Apfel;7;9;115;L;72322;351811;Apfel;15/07;31/10
640;8;Malus;;;Apfel;6;6;50;L;70373;355880;Apfel;15/07;31/10
1;288;Malus;;;Apfel;3;2;18;L;72004;352071;Apfel;15/07;31/10
611;31;Malus;;;Apfel;1;1;20;L;70283;354049;Apfel;15/07;31/10
611;35;Malus;;;Apfel;3;1;15;L;70240;354086;Apfel;15/07;31/10
210;2;Malus;;;Apfel;3;2;14;L;71204;348827;Apfel;15/07;31/10
47;5;Malus;;;Apfel;4;3;50;L;72039;353867;Apfel;15/07;31/10
460;11;Malus;;;Apfel;9;9;140;L;74230;345385;Apfel;15/07;31/10
377;21;Malus;;;Apfel;5;5;70;L;71899;352404;Apfel;15/07;31/10
689;4;Malus;;;Apfel;5;4;1;L;70636;355175;Apfel;15/07;31/10
82;16;Malus;;;Apfel;6;4;50;L;71201;352596;Apfel;15/07;31/10
65;70;Malus;;;Apfel;6;10;68;L;71117;352761;Apfel;15/07;31/10
65;76;Malus;;;Apfel;3;3;220;L;71136;352776;Apfel;15/07;31/10
65;93;Malus;;;Apfel;5;14;1;L;71075;352779;Apfel;15/07;31/10
65;98;Malus;;;Apfel;5;12;1;L;71099;352789;Apfel;15/07;31/10
65;102;Malus;;;Apfel;3;7;60;L;71121;352801;Apfel;15/07;31/10
65;107;Malus;;;Apfel;6;9;130;L;71110;352804;Apfel;15/07;31/10
65;109;Malus;;;Apfel;4;10;75;L;71098;352815;Apfel;15/07;31/10
65;111;Malus;;;Apfel;4;6;90;L;71093;352805;Apfel;15/07;31/10
482;2;Malus;;;Apfel;5;6;1;L;70385;352219;Apfel;15/07;31/10
65;77;Malus;;;Apfel;4;3;30;L;71143;352780;Apfel;15/07;31/10
65;103;Malus;;;Apfel;2;7;60;L;71124;352801;Apfel;15/07;31/10
65;71;Malus;;;Apfel;6;8;100;L;71112;352761;Apfel;15/07;31/10
482;1;Malus;;;Apfel;4;8;1;L;70400;352234;Apfel;15/07;31/10
421;65;Malus;;;Apfel;1;1;1;L;71456;346318;Apfel;15/07;31/10
421;66;Malus;;;Apfel;5;3;50;L;71442;346319;Apfel;15/07;31/10
421;72;Malus;;;Apfel;6;4;1;L;71604;346299;Apfel;15/07;31/10
617;4;Malus;;;Apfel;3;2;1;L;70424;353743;Apfel;15/07;31/10
608;069a;Malus;;;Apfel;9;7;68;L;70443;354921;Apfel;15/07;31/10
202;17;Malus;;;Apfel;7;11;120;L;70174;349004;Apfel;15/07;31/10
44;19;Malus;;;Apfel;15;10;180;L;70105;350489;Apfel;15/07;31/10
300;45;Malus;;;Apfel;10;5;100;L;74087;345395;Apfel;15/07;31/10
204;91;Malus;;;Apfel;4;3;80;L;71910;348900;Apfel;15/07;31/10
300;19;Malus;;;Apfel;4;3;30;L;74035;345363;Apfel;15/07;31/10
300;32;Malus;;;Apfel;17;11;130;L;74072;345325;Apfel;15/07;31/10
300;41;Malus;;;Apfel;5;4;45;L;74063;345381;Apfel;15/07;31/10
204;34;Malus;;;Apfel;4;4;100;L;71747;348843;Apfel;15/07;31/10
567;11;Malus;;;Apfel;1;2;30;L;69708;353608;Apfel;15/07;31/10
543;1;Malus;;;Apfel;6;4;50;L;70067;352611;Apfel;15/07;31/10
543;17;Malus;;;Apfel;7;6;40;L;70074;352646;Apfel;15/07;31/10
301;26;Malus;;;Apfel;4;2;30;L;73796;344677;Apfel;15/07;31/10
245;194;Malus;;;Apfel;7;8;125;L;73394;346370;Apfel;15/07;31/10
128;18;Malus;;;Apfel;8;7;40;L;72590;352998;Apfel;15/07;31/10
1206;6;Malus;;;Apfel;5;2;29;L;76480;346470;Apfel;15/07;31/10
1206;7;Malus;;;Apfel;5;2;29;L;76481;346473;Apfel;15/07;31/10
1206;8;Malus;;;Apfel;4;2;27;L;76481;346478;Apfel;15/07;31/10
1206;9;Malus;;;Apfel;4;2;29;L;76482;346481;Apfel;15/07;31/10
580;7;Malus;;;Apfel;4;2;30;L;71288;353995;Apfel;15/07;31/10
580;11;Malus;;;Apfel;5;2;30;L;71328;354053;Apfel;15/07;31/10
799;12;Malus;;;Apfel;10;8;75;L;71581;354444;Apfel;15/07;31/10
528;2;Malus;;;Apfel;4;6;1;L;70396;352735;Apfel;15/07;31/10
528;3;Malus;;;Apfel;4;5;1;L;70392;352726;Apfel;15/07;31/10
572;27;Malus;;;Apfel;9;8;1;L;71148;353713;Apfel;15/07;31/10
893;10;Malus;;;Apfel;4;5;35;L;71787;355408;Apfel;15/07;31/10
623;14;Malus;;;Apfel;2;5;1;L;72008;355667;Apfel;15/07;31/10
623;15;Malus;;;Apfel;4;3;1;L;72003;355667;Apfel;15/07;31/10
623;23;Malus;;;Apfel;3;7;1;L;71968;355678;Apfel;15/07;31/10
623;24;Malus;;;Apfel;3;5;1;L;71967;355674;Apfel;15/07;31/10
938;10;Malus;;;Apfel;2;1;9;L;76115;346755;Apfel;15/07;31/10
938;12;Malus;;;Apfel;3;1;19;L;76133;346779;Apfel;15/07;31/10
685;31;Malus;;;Apfel;6;6;40;L;72070;355530;Apfel;15/07;31/10
685;37;Malus;;;Apfel;5;5;3;L;72080;355532;Apfel;15/07;31/10
685;38;Malus;;;Apfel;5;4;45;L;72085;355540;Apfel;15/07;31/10
685;39;Malus;;;Apfel;5;7;50;L;72075;355544;Apfel;15/07;31/10
687;1;Malus;;;Apfel;5;9;1;L;72560;355197;Apfel;15/07;31/10
623;80;Malus;;;Apfel;8;7;1;L;72024;355612;Apfel;15/07;31/10
684;12;Malus;;;Apfel;7;14;1;L;71991;355851;Apfel;15/07;31/10
689;12;Malus;;;Apfel;4;3;22;L;70689;355144;Apfel;15/07;31/10
628;032a;Malus;;;Apfel;1;1;9;L;71803;355625;Apfel;15/07;31/10
644;1;Malus;;;Apfel;8;7;127;L;72851;355543;Apfel;15/07;31/10
319;91;Malus;;;Apfel;3;1;16;L;71569;352350;Apfel;15/07;31/10
455;2;Malus;;;Apfel;2;1;7;L;75279;346257;Apfel;15/07;31/10
460;54;Malus;;;Apfel;4;1;28;L;74285;345211;Apfel;15/07;31/10
1098;4;Malus;;;Apfel;6;4;75;L;75486;346674;Apfel;15/07;31/10
628;042a;Malus;;;Apfel;1;1;5;L;71875;355638;Apfel;15/07;31/10
628;033a;Malus;;;Apfel;2;1;10;L;71789;355613;Apfel;15/07;31/10
628;034a;Malus;;;Apfel;2;1;8;L;71789;355608;Apfel;15/07;31/10
628;35;Malus;;;Apfel;2;1;7;L;71789;355602;Apfel;15/07;31/10
628;036a;Malus;;;Apfel;3;1;9;L;71789;355595;Apfel;15/07;31/10
628;037a;Malus;;;Apfel;2;1;9;L;71788;355589;Apfel;15/07;31/10
628;038a;Malus;;;Apfel;2;1;9;L;71789;355581;Apfel;15/07;31/10
628;039a;Malus;;;Apfel;3;1;10;L;71791;355575;Apfel;15/07;31/10
628;044a;Malus;;;Apfel;2;1;6;L;71891;355639;Apfel;15/07;31/10
377;002a;Malus;;;Apfel;5;6;64;L;71939;352398;Apfel;15/07;31/10
377;4;Malus;;;Apfel;7;8;90;L;71927;352399;Apfel;15/07;31/10
377;5;Malus;;;Apfel;6;12;50;L;71923;352393;Apfel;15/07;31/10
377;6;Malus;;;Apfel;6;4;33;L;71935;352387;Apfel;15/07;31/10
92;009a;Malus;;;Apfel;9;10;160;L;72574;353091;Apfel;15/07;31/10
619;010a;Malus;;;Apfel;6;8;70;L;70180;352691;Apfel;15/07;31/10
691;004a;Malus;;;Apfel;4;2;26;L;70847;354880;Apfel;15/07;31/10
294;137;Malus;;;Apfel;3;2;26;L;71888;346528;Apfel;15/07;31/10
92;41;Malus;;;Apfel;6;6;20;L;72578;353091;Apfel;15/07;31/10
774;20;Malus;;;Apfel;2;2;15;L;72041;350406;Apfel;15/07;31/10
245;202;Malus;;;Apfel;4;2;20;L;73362;346371;Apfel;15/07;31/10
245;225;Malus;;;Apfel;3;2;16;L;73329;346395;Apfel;15/07;31/10
245;226;Malus;;;Apfel;4;2;21;L;73320;346391;Apfel;15/07;31/10
245;242;Malus;;;Apfel;4;2;22;L;73279;346394;Apfel;15/07;31/10
245;241;Malus;;;Apfel;4;2;23;L;73285;346390;Apfel;15/07;31/10
245;240;Malus;;;Apfel;4;2;27;L;73285;346396;Apfel;15/07;31/10
245;239;Malus;;;Apfel;3;2;22;L;73290;346391;Apfel;15/07;31/10
294;129;Malus;;;Apfel;3;3;22;L;71873;346575;Apfel;15/07;31/10
294;131;Malus;;;Apfel;4;3;25;L;71877;346563;Apfel;15/07;31/10
294;133;Malus;;;Apfel;5;2;31;L;71881;346551;Apfel;15/07;31/10
294;135;Malus;;;Apfel;4;3;26;L;71884;346540;Apfel;15/07;31/10
294;139;Malus;;;Apfel;2;3;32;L;71892;346516;Apfel;15/07;31/10
245;223;Malus;;;Apfel;4;3;37;L;73321;346388;Apfel;15/07;31/10
390;85;Malus;;;Apfel;6;8;90;L;70952;347648;Apfel;15/07;31/10
390;86;Malus;;;Apfel;6;8;90;L;70953;347651;Apfel;15/07;31/10
128;15;Malus;;;Apfel;6;6;50;L;72609;353011;Apfel;15/07;31/10
702;84;Malus;;;Apfel;4;2;25;L;70794;351826;Apfel;15/07;31/10
702;85;Malus;;;Apfel;4;2;23;L;70801;351834;Apfel;15/07;31/10
702;86;Malus;;;Apfel;4;2;89;L;70804;351830;Apfel;15/07;31/10
1161;20;Malus;;;Apfel;5;1;25;L;69646;350037;Apfel;15/07;31/10
209;19;Sorbus;aria;;Mehlbeere;10;6;180;L;71619;349046;Sonstiges;01/09;31/10
209;7;Sorbus;aria;;Mehlbeere;10;6;150;L;71630;349000;Sonstiges;01/09;31/10
209;3;Sorbus;aria;;Mehlbeere;6;5;80;L;71606;349023;Sonstiges;01/09;31/10
458;13;Sorbus;aria;;Mehlbeere;6;2;26;L;76882;345597;Sonstiges;01/09;31/10
460;68;Sorbus;aria;;Mehlbeere;10;8;110;L;74205;345351;Sonstiges;01/09;31/10
643;6;Sorbus;aria;;Mehlbeere;14;6;1;L;72861;355403;Sonstiges;01/09;31/10
634;36;Sorbus;aria;;Mehlbeere;1;3;53;L;72751;355395;Sonstiges;01/09;31/10
634;37;Sorbus;aria;;Mehlbeere;10;4;72;L;72750;355392;Sonstiges;01/09;31/10
634;120;Sorbus;aria;;Mehlbeere;7;4;52;L;72743;355481;Sonstiges;01/09;31/10
634;121;Sorbus;aria;;Mehlbeere;6;3;34;L;72737;355482;Sonstiges;01/09;31/10
626;62;Sorbus;aria;;Mehlbeere;8;6;68;L;72804;355211;Sonstiges;01/09;31/10
626;63;Sorbus;aria;;Mehlbeere;8;3;65;L;72807;355207;Sonstiges;01/09;31/10
626;64;Sorbus;aria;;Mehlbeere;8;6;50;L;72808;355201;Sonstiges;01/09;31/10
634;80;Sorbus;aria;;Mehlbeere;10;6;74;L;72798;355412;Sonstiges;01/09;31/10
634;83;Sorbus;aria;;Mehlbeere;11;5;77;L;72799;355422;Sonstiges;01/09;31/10
634;88;Sorbus;aria;;Mehlbeere;9;5;74;L;72794;355440;Sonstiges;01/09;31/10
634;89;Sorbus;aria;;Mehlbeere;9;5;71;L;72788;355441;Sonstiges;01/09;31/10
634;90;Sorbus;aria;;Mehlbeere;9;5;82;L;72793;355447;Sonstiges;01/09;31/10
629;127;Sorbus;aria;;Mehlbeere;7;8;1;L;70765;355006;Sonstiges;01/09;31/10
629;99;Sorbus;aria;;Mehlbeere;20;8;154;L;70612;355071;Sonstiges;01/09;31/10
200;9;Sorbus;aria;;Mehlbeere;6;7;50;L;72020;348554;Sonstiges;01/09;31/10
206;15;Sorbus;aria;;Mehlbeere;5;4;40;L;71722;349230;Sonstiges;01/09;31/10
206;19;Sorbus;aria;;Mehlbeere;8;8;120;L;71728;349211;Sonstiges;01/09;31/10
668;012a;Sorbus;aria;;Mehlbeere;12;6;80;L;71151;356188;Sonstiges;01/09;31/10
668;013a;Sorbus;aria;;Mehlbeere;12;6;70;L;71153;356190;Sonstiges;01/09;31/10
668;022a;Sorbus;aria;;Mehlbeere;11;6;60;L;71154;356223;Sonstiges;01/09;31/10
668;023a;Sorbus;aria;;Mehlbeere;11;6;50;L;71151;356224;Sonstiges;01/09;31/10
1100;188;Sorbus;aria;;Mehlbeere;10;5;30;L;70024;351361;Sonstiges;01/09;31/10
787;1;Sorbus;aria;;Mehlbeere;11;5;65;L;71560;352844;Sonstiges;01/09;31/10
75;9;Sorbus;aria;;Mehlbeere;15;8;72;L;71435;352826;Sonstiges;01/09;31/10
75;11;Sorbus;aria;;Mehlbeere;9;6;36;L;71440;352828;Sonstiges;01/09;31/10
75;20;Sorbus;aria;;Mehlbeere;4;5;57;L;71455;352836;Sonstiges;01/09;31/10
75;25;Sorbus;aria;;Mehlbeere;12;7;50;L;71462;352830;Sonstiges;01/09;31/10
75;33;Sorbus;aria;;Mehlbeere;14;7;69;L;71481;352819;Sonstiges;01/09;31/10
75;34;Sorbus;aria;;Mehlbeere;13;7;75;L;71485;352818;Sonstiges;01/09;31/10
75;36;Sorbus;aria;;Mehlbeere;10;5;45;L;71487;352816;Sonstiges;01/09;31/10
419;4;Sorbus;aria;;Mehlbeere;4;4;40;L;70997;346305;Sonstiges;01/09;31/10
419;29;Sorbus;aria;;Mehlbeere;5;3;40;L;71015;346312;Sonstiges;01/09;31/10
395;23;Sorbus;aria;;Mehlbeere;4;3;50;L;70639;346534;Sonstiges;01/09;31/10
395;20;Sorbus;aria;;Mehlbeere;6;4;70;L;70667;346544;Sonstiges;01/09;31/10
384;21;Sorbus;aria;;Mehlbeere;6;5;90;L;70868;346374;Sonstiges;01/09;31/10
426;32;Sorbus;aria;;Mehlbeere;6;4;110;L;71483;346386;Sonstiges;01/09;31/10
422;64;Sorbus;aria;;Mehlbeere;8;5;1;L;71537;346122;Sonstiges;01/09;31/10
422;65;Sorbus;aria;;Mehlbeere;8;6;50;L;71542;346126;Sonstiges;01/09;31/10
422;154;Sorbus;aria;;Mehlbeere;1;1;1;L;71485;346208;Sonstiges;01/09;31/10
421;48;Sorbus;aria;;Mehlbeere;5;4;80;L;71542;346265;Sonstiges;01/09;31/10
421;49;Sorbus;aria;;Mehlbeere;4;3;1;L;71539;346267;Sonstiges;01/09;31/10
421;50;Sorbus;aria;;Mehlbeere;5;3;1;L;71537;346263;Sonstiges;01/09;31/10
421;55;Sorbus;aria;;Mehlbeere;5;4;1;L;71499;346259;Sonstiges;01/09;31/10
204;25;Sorbus;aria;;Mehlbeere;6;5;120;L;71739;348895;Sonstiges;01/09;31/10
204;26;Sorbus;aria;;Mehlbeere;5;4;130;L;71745;348889;Sonstiges;01/09;31/10
204;27;Sorbus;aria;;Mehlbeere;5;5;230;L;71739;348888;Sonstiges;01/09;31/10
204;82;Sorbus;aria;;Mehlbeere;4;4;50;L;71904;348881;Sonstiges;01/09;31/10
219;75;Sorbus;aria;;Mehlbeere;5;4;47;L;72524;346190;Sonstiges;01/09;31/10
431;8;Sorbus;aria;;Mehlbeere;5;2;44;L;74418;344936;Sonstiges;01/09;31/10
643;10;Sorbus;aria;;Mehlbeere;12;7;85;L;72853;355389;Sonstiges;01/09;31/10
431;6;Sorbus;aria;;Mehlbeere;7;4;70;L;74431;344957;Sonstiges;01/09;31/10
452;11;Sorbus;aria;;Mehlbeere;6;2;43;L;76728;345492;Sonstiges;01/09;31/10
452;12;Sorbus;aria;;Mehlbeere;6;2;43;L;76718;345489;Sonstiges;01/09;31/10
452;13;Sorbus;aria;;Mehlbeere;6;2;47;L;76709;345486;Sonstiges;01/09;31/10
673;14;Sorbus;aria;;Mehlbeere;14;8;1;L;71587;355586;Sonstiges;01/09;31/10
673;15;Sorbus;aria;;Mehlbeere;14;7;90;L;71583;355585;Sonstiges;01/09;31/10
637;13;Sorbus;aria;;Mehlbeere;4;2;18;L;71234;355411;Sonstiges;01/09;31/10
628;8;Sorbus;aria;;Mehlbeere;11;10;1;L;71898;355656;Sonstiges;01/09;31/10
662;2;Sorbus;aria;;Mehlbeere;5;4;40;L;71773;355641;Sonstiges;01/09;31/10
654;66;Sorbus;aria;;Mehlbeere;10;8;115;L;71989;355567;Sonstiges;01/09;31/10
654;68;Sorbus;aria;;Mehlbeere;7;7;105;L;71995;355568;Sonstiges;01/09;31/10
654;62;Sorbus;aria;;Mehlbeere;8;8;1;L;71969;355565;Sonstiges;01/09;31/10
654;63;Sorbus;aria;;Mehlbeere;8;8;85;L;71974;355564;Sonstiges;01/09;31/10
893;37;Sorbus;aria;;Mehlbeere;5;3;30;L;71862;355373;Sonstiges;01/09;31/10
668;001a;Sorbus;aria;;Mehlbeere;12;7;85;L;71159;356151;Sonstiges;01/09;31/10
893;30;Sorbus;aria;;Mehlbeere;8;5;45;L;71810;355349;Sonstiges;01/09;31/10
623;91;Sorbus;aria;;Mehlbeere;9;7;65;L;71975;355589;Sonstiges;01/09;31/10
623;92;Sorbus;aria;;Mehlbeere;9;7;55;L;71971;355589;Sonstiges;01/09;31/10
870;19;Sorbus;aria;;Mehlbeere;9;3;20;L;72420;354943;Sonstiges;01/09;31/10
668;003a;Sorbus;aria;;Mehlbeere;12;7;75;L;71157;356158;Sonstiges;01/09;31/10
668;034a;Sorbus;aria;;Mehlbeere;9;8;60;L;71154;356249;Sonstiges;01/09;31/10
678;004a;Sorbus;aria;;Mehlbeere;10;5;160;L;71202;354370;Sonstiges;01/09;31/10
197;1;Sorbus;aria;;Mehlbeere;6;5;80;L;72826;348843;Sonstiges;01/09;31/10
197;2;Sorbus;aria;;Mehlbeere;5;4;80;L;72827;348837;Sonstiges;01/09;31/10
678;001a;Sorbus;aria;;Mehlbeere;10;7;150;L;71207;354389;Sonstiges;01/09;31/10
678;002a;Sorbus;aria;;Mehlbeere;10;8;155;L;71201;354386;Sonstiges;01/09;31/10
678;003a;Sorbus;aria;;Mehlbeere;10;6;166;L;71201;354379;Sonstiges;01/09;31/10
1060;88;Sorbus;aria;;Mehlbeere;5;1;30;L;71426;348922;Sonstiges;01/09;31/10
1060;102;Sorbus;aria;;Mehlbeere;5;2;25;L;71426;348887;Sonstiges;01/09;31/10
138;26;Sorbus;aria;;Mehlbeere;8;6;170;L;71551;349306;Sonstiges;01/09;31/10
668;032a;Sorbus;aria;;Mehlbeere;13;7;75;L;71154;356244;Sonstiges;01/09;31/10
668;002a;Sorbus;aria;;Mehlbeere;12;5;45;L;71161;356155;Sonstiges;01/09;31/10
668;033a;Sorbus;aria;;Mehlbeere;13;7;72;L;71153;356246;Sonstiges;01/09;31/10
422;63;Sorbus;aria;;Mehlbeere;6;5;50;L;71536;346130;Sonstiges;01/09;31/10
422;62;Sorbus;aria;;Mehlbeere;10;7;50;L;71532;346122;Sonstiges;01/09;31/10
390;076a;Sorbus;aria;;Mehlbeere;9;6;80;L;70899;347591;Sonstiges;01/09;31/10
634;34;Sorbus;aria;;Mehlbeere;7;2;33;L;72743;355393;Sonstiges;01/09;31/10
654;167;Sorbus;aria;;Mehlbeere;10;7;164;L;73206;355598;Sonstiges;01/09;31/10
654;168;Sorbus;aria;;Mehlbeere;10;6;172;L;73200;355596;Sonstiges;01/09;31/10
654;169;Sorbus;aria;;Mehlbeere;10;6;142;L;73201;355601;Sonstiges;01/09;31/10
824;194;Prunus;padus;;Traubenkirsche;4;1;23;L;76395;347466;Kirsche;01/07;31/08
824;195;Prunus;padus;;Traubenkirsche;5;2;18;L;76395;347454;Kirsche;01/07;31/08
767;3;Prunus;padus;;Traubenkirsche;4;8;90;L;71728;350284;Kirsche;01/07;31/08
771;7;Prunus;padus;;Traubenkirsche;4;2;45;L;70950;351024;Kirsche;01/07;31/08
824;066a;Prunus;padus;;Traubenkirsche;5;1;18;L;76535;347062;Kirsche;01/07;31/08
824;67;Prunus;padus;;Traubenkirsche;5;1;19;L;76530;347056;Kirsche;01/07;31/08
840;12;Prunus;padus;;Traubenkirsche;6;2;27;L;72964;355557;Kirsche;01/07;31/08
840;14;Prunus;padus;;Traubenkirsche;6;4;25;L;72975;355557;Kirsche;01/07;31/08
840;15;Prunus;padus;;Traubenkirsche;6;4;31;L;72973;355551;Kirsche;01/07;31/08
1095;13;Prunus;padus;;Traubenkirsche;5;2;26;L;76584;347038;Kirsche;01/07;31/08
1095;14;Prunus;padus;;Traubenkirsche;4;2;25;L;76581;347021;Kirsche;01/07;31/08
1070;65;Prunus;padus;;Traubenkirsche;27;13;205;L;70452;351279;Kirsche;01/07;31/08
42;15;Prunus;padus;;Traubenkirsche;18;8;200;L;69896;350522;Kirsche;01/07;31/08
47;8;Prunus;padus;;Traubenkirsche;11;6;180;L;72034;353870;Kirsche;01/07;31/08
47;12;Prunus;padus;;Traubenkirsche;9;4;130;L;72019;353867;Kirsche;01/07;31/08
47;13;Prunus;padus;;Traubenkirsche;9;4;150;L;72021;353861;Kirsche;01/07;31/08
47;18;Prunus;padus;;Traubenkirsche;8;5;50;L;72047;353850;Kirsche;01/07;31/08
47;9;Prunus;padus;;Traubenkirsche;10;5;120;L;72028;353863;Kirsche;01/07;31/08
47;21;Prunus;padus;;Traubenkirsche;6;4;150;L;72043;353844;Kirsche;01/07;31/08
47;25;Prunus;padus;;Traubenkirsche;9;3;75;L;72020;353855;Kirsche;01/07;31/08
47;27;Prunus;padus;;Traubenkirsche;11;4;60;L;72014;353857;Kirsche;01/07;31/08
47;10;Prunus;padus;;Traubenkirsche;12;6;180;L;72026;353869;Kirsche;01/07;31/08
47;15;Prunus;padus;;Traubenkirsche;6;3;60;L;72015;353864;Kirsche;01/07;31/08
47;17;Prunus;padus;;Traubenkirsche;9;4;70;L;72049;353855;Kirsche;01/07;31/08
333;91;Prunus;padus;;Traubenkirsche;12;6;75;L;73048;351463;Kirsche;01/07;31/08
333;92;Prunus;padus;.;Traubenkirsche;12;1;1;L;73049;351468;Kirsche;01/07;31/08
333;202;Prunus;padus;;Traubenkirsche;10;8;90;L;73056;351448;Kirsche;01/07;31/08
205;51;Prunus;padus;;Traubenkirsche;12;8;120;L;70915;348247;Kirsche;01/07;31/08
65;649;Prunus;padus;;Traubenkirsche;18;8;75;L;71609;353343;Kirsche;01/07;31/08
65;660;Prunus;padus;;Traubenkirsche;12;6;1;L;71610;353308;Kirsche;01/07;31/08
65;636;Prunus;padus;;Traubenkirsche;18;10;95;L;71606;353366;Kirsche;01/07;31/08
65;635;Prunus;padus;;Traubenkirsche;18;7;100;L;71606;353369;Kirsche;01/07;31/08
65;632;Prunus;padus;;Traubenkirsche;1;1;92;L;71607;353374;Kirsche;01/07;31/08
65;631;Prunus;padus;;Traubenkirsche;19;10;100;L;71606;353378;Kirsche;01/07;31/08
65;630;Prunus;padus;;Traubenkirsche;13;9;132;L;71603;353375;Kirsche;01/07;31/08
65;629;Prunus;padus;;Traubenkirsche;12;8;90;L;71605;353382;Kirsche;01/07;31/08
65;618;Prunus;padus;;Traubenkirsche;15;10;1;L;71603;353394;Kirsche;01/07;31/08
65;617;Prunus;padus;;Traubenkirsche;15;12;90;L;71602;353399;Kirsche;01/07;31/08
65;603;Prunus;padus;;Traubenkirsche;12;6;50;L;71598;353425;Kirsche;01/07;31/08
65;601;Prunus;padus;;Traubenkirsche;10;7;1;L;71593;353427;Kirsche;01/07;31/08
65;546;Prunus;padus;;Traubenkirsche;7;10;1;L;71559;353499;Kirsche;01/07;31/08
65;545;Prunus;padus;;Traubenkirsche;6;10;1;L;71553;353501;Kirsche;01/07;31/08
65;634;Prunus;padus;;Traubenkirsche;10;8;1;L;71603;353369;Kirsche;01/07;31/08
65;530;Prunus;padus;;Traubenkirsche;5;0;17;L;71570;353414;Kirsche;01/07;31/08
65;575;Prunus;padus;;Traubenkirsche;6;7;1;L;71585;353487;Kirsche;01/07;31/08
494;138;Prunus;padus;;Traubenkirsche;10;7;80;L;68510;352563;Kirsche;01/07;31/08
494;136;Prunus;padus;;Traubenkirsche;9;7;70;L;68487;352566;Kirsche;01/07;31/08
494;131;Prunus;padus;;Traubenkirsche;10;7;95;L;68387;352584;Kirsche;01/07;31/08
494;122;Prunus;padus;;Traubenkirsche;11;10;120;L;68367;352585;Kirsche;01/07;31/08
494;116;Prunus;padus;;Traubenkirsche;10;7;100;L;68277;352599;Kirsche;01/07;31/08
494;115;Prunus;padus;;Traubenkirsche;8;5;50;L;68271;352600;Kirsche;01/07;31/08
494;113;Prunus;padus;;Traubenkirsche;9;7;60;L;68243;352607;Kirsche;01/07;31/08
494;111;Prunus;padus;;Traubenkirsche;10;8;1;L;68240;352613;Kirsche;01/07;31/08
494;109;Prunus;padus;;Traubenkirsche;10;7;70;L;68236;352611;Kirsche;01/07;31/08
494;108;Prunus;padus;;Traubenkirsche;10;7;1;L;68235;352608;Kirsche;01/07;31/08
47;20;Prunus;padus;;Traubenkirsche;11;5;130;L;72039;353851;Kirsche;01/07;31/08
47;24;Prunus;padus;;Traubenkirsche;10;4;60;L;72022;353852;Kirsche;01/07;31/08
431;2;Prunus;padus;;Traubenkirsche;7;4;85;L;74412;344957;Kirsche;01/07;31/08
431;5;Prunus;padus;;Traubenkirsche;12;3;120;L;74429;344964;Kirsche;01/07;31/08
826;9;Prunus;padus;;Traubenkirsche;4;2;14;L;77818;345845;Kirsche;01/07;31/08
826;8;Prunus;padus;;Traubenkirsche;6;2;14;L;77821;345848;Kirsche;01/07;31/08
1100;98;Prunus;padus;;Traubenkirsche;15;20;60;L;70057;351309;Kirsche;01/07;31/08
333;82;Prunus;padus;.;Traubenkirsche;9;6;75;L;72945;351499;Kirsche;01/07;31/08
1100;198;Prunus;padus;.;Traubenkirsche;45;30;200;L;70033;351385;Kirsche;01/07;31/08
245;153;Prunus;padus;;Traubenkirsche;10;8;50;L;73362;346396;Kirsche;01/07;31/08
245;120;Prunus;padus;;Traubenkirsche;15;10;250;L;73353;346380;Kirsche;01/07;31/08
513;8;Prunus;padus;;Traubenkirsche;12;10;70;L;70414;352065;Kirsche;01/07;31/08
799;11;Prunus;padus;.;Traubenkirsche;10;9;1;L;71589;354439;Kirsche;01/07;31/08
893;13;Prunus;padus;;Traubenkirsche;18;9;100;L;71780;355393;Kirsche;01/07;31/08
25;023a;Prunus;padus;;Traubenkirsche;19;6;165;L;70411;351606;Kirsche;01/07;31/08
824;124;Prunus;padus;;Traubenkirsche;6;1;25;L;76512;347336;Kirsche;01/07;31/08
824;192;Prunus;padus;;Traubenkirsche;6;1;20;L;76396;347478;Kirsche;01/07;31/08
893;24;Prunus;padus;;Traubenkirsche;16;12;110;L;71798;355321;Kirsche;01/07;31/08
824;63;Prunus;padus;;Traubenkirsche;6;1;20;L;76558;347093;Kirsche;01/07;31/08
